dataset_id,sample_id,method,lambda_contact,lambda_secretion,r2_contact,r2_secretion,lambda_ratio
demo_ds1,s1,baseline_A,1.191603378870093,0.3431489619502091,0.6431604806883515,0.9392832074360851,0.28797246469340426
demo_ds1,s1,baseline_B,0.619467833961318,0.4757186601936252,0.7596241479142454,0.8744683532985617,0.7679473156040107
demo_ds1,s1,ours,2.437398015041399,0.27708138995121334,0.22834295272094052,0.9549468092287972,0.11367917272489741
demo_ds1,s2,baseline_A,0.5098321914455225,0.3862760414197128,0.7477297847923964,0.9655359995476114,0.7576532982833193
demo_ds1,s2,baseline_B,0.4005294833322257,0.5636679761753172,0.876554289497312,0.829623955905008,1.4073070763376827
demo_ds1,s2,ours,1.5726034226752932,0.2996914219936139,0.3840098856513916,0.8877947374440924,0.190570246555729
demo_ds1,s3,baseline_A,0.6896098563747686,0.40462466063712965,0.6942938872623806,0.9482605215014164,0.5867443118696325
demo_ds1,s3,baseline_B,0.46549900043635545,0.5190571548516103,0.9145498560598626,0.8699534753146373,1.1150553585830472
demo_ds1,s3,ours,3.2947191222608097,0.3054679620769792,0.09066894696010441,0.9406801296761101,0.09271441684150894
